width,height,muted,region,x,y,w,h,contained
3440,1440,0,minimap,24,24,216,216,1
3440,1440,0,route-card,24,252,352,216,1
3440,1440,0,quickbar-strip,1454,1310,532,116,1
3440,1440,0,orb-life,15,1283,142,142,1
3440,1440,0,orb-resource,3283,1283,142,142,1
3440,1440,0,identity,250,24,454,41,1
3440,1440,0,objective,1528,24,384,51,1
3440,1440,0,controls,949,24,569,41,1
3440,1440,0,audio-mixer,3068,24,360,224,1
3440,1440,1,minimap,24,24,216,216,1
3440,1440,1,route-card,24,252,352,216,1
3440,1440,1,quickbar-strip,1454,1310,532,116,1
3440,1440,1,orb-life,15,1283,142,142,1
3440,1440,1,orb-resource,3283,1283,142,142,1
3440,1440,1,identity,250,24,454,41,1
3440,1440,1,objective,1528,24,384,51,1
3440,1440,1,controls,949,24,569,41,1
3440,1440,1,audio-mixer,3068,87,360,224,1
3440,1440,1,audio-muted,3068,24,190,51,1
1366,768,0,minimap,12,12,108,108,1
1366,768,0,route-card,12,126,176,108,1
1366,768,0,quickbar-strip,545,690,276,64,1
1366,768,0,orb-life,15,679,74,74,1
1366,768,0,orb-resource,1277,679,74,74,1
1366,768,0,identity,130,12,226,20,1
1366,768,0,objective,581,12,203,30,1
1366,768,0,controls,794,12,287,20,1
1366,768,0,audio-mixer,1174,12,180,107,1
1366,768,1,minimap,12,12,108,108,1
1366,768,1,route-card,12,126,176,108,1
1366,768,1,quickbar-strip,545,690,276,64,1
1366,768,1,orb-life,15,679,74,74,1
1366,768,1,orb-resource,1277,679,74,74,1
1366,768,1,identity,130,12,226,20,1
1366,768,1,objective,581,12,203,30,1
1366,768,1,controls,794,12,287,20,1
1366,768,1,audio-mixer,1174,48,180,107,1
1366,768,1,audio-muted,1174,12,105,30,1
960,600,0,minimap,12,12,108,108,1
960,600,0,route-card,12,126,176,108,1
960,600,0,quickbar-strip,342,522,276,64,1
960,600,0,orb-life,15,511,74,74,1
960,600,0,orb-resource,871,511,74,74,1
960,600,0,identity,130,12,226,20,1
960,600,0,objective,378,12,203,30,1
960,600,0,controls,336,52,287,20,1
960,600,0,audio-mixer,768,12,180,107,1
960,600,1,minimap,12,12,108,108,1
960,600,1,route-card,12,126,176,108,1
960,600,1,quickbar-strip,342,522,276,64,1
960,600,1,orb-life,15,511,74,74,1
960,600,1,orb-resource,871,511,74,74,1
960,600,1,identity,130,12,226,20,1
960,600,1,objective,378,12,203,30,1
960,600,1,controls,336,52,287,20,1
960,600,1,audio-mixer,768,48,180,107,1
960,600,1,audio-muted,768,12,105,30,1
