# identity action direction fps loop width height anchor_x anchor_y pixels_per_metre frames...
defender	idle	back	1	1	96	96	48	80	48	fs_defender_idle_back_00_003f11c0b0
defender	idle	front	1	1	96	96	48	80	48	fs_defender_idle_front_00_c8bf65895f
defender	idle	left	1	1	96	96	48	80	48	fs_defender_idle_left_00_b37d97a680
defender	idle	right	1	1	96	96	48	80	48	fs_defender_idle_right_00_4f44534083
field-hand	idle	back	1	1	96	96	48	80	48	fs_field-hand_idle_back_00_5e228626fa
field-hand	idle	front	1	1	96	96	48	80	48	fs_field-hand_idle_front_00_c8c9d3259e
field-hand	idle	left	1	1	96	96	48	80	48	fs_field-hand_idle_left_00_ecd6e59cbd
field-hand	idle	right	1	1	96	96	48	80	48	fs_field-hand_idle_right_00_754b81f945
fieldstone-cluster	idle	front	1	0	256	256	128	200	48	fs_fieldstone-cluster_idle_front_00_e671787972
hut	idle	front	1	0	256	256	128	192	48	fs_hut_idle_front_00_77cc29e2ad
pack-wolf	attack	back	8	0	96	96	48	80	48	fs_pack-wolf_attack_back_00_eb3d5a5917	fs_pack-wolf_attack_back_01_9c079152d2	fs_pack-wolf_attack_back_02_07d3592f9a	fs_pack-wolf_attack_back_03_c1d8e2b19d
pack-wolf	attack	front	8	0	96	96	48	80	48	fs_pack-wolf_attack_front_00_d2dcfdfd63	fs_pack-wolf_attack_front_01_103c86fd1f	fs_pack-wolf_attack_front_02_f5a7ccf9dc	fs_pack-wolf_attack_front_03_498a024812
pack-wolf	attack	left	8	0	96	96	48	80	48	fs_pack-wolf_attack_left_00_85772a570f	fs_pack-wolf_attack_left_01_c1c02c3de6	fs_pack-wolf_attack_left_02_6ba33cf1d5	fs_pack-wolf_attack_left_03_6ed0670516
pack-wolf	attack	right	8	0	96	96	48	80	48	fs_pack-wolf_attack_right_00_e9cd5fcced	fs_pack-wolf_attack_right_01_92dc1fa589	fs_pack-wolf_attack_right_02_10897107a8	fs_pack-wolf_attack_right_03_30b0018979
pack-wolf	hit	back	8	0	96	96	48	80	48	fs_pack-wolf_hit_back_00_34ab227b8a	fs_pack-wolf_hit_back_01_627dc427b7	fs_pack-wolf_hit_back_02_65a622050b	fs_pack-wolf_hit_back_03_e5110aac02
pack-wolf	hit	front	8	0	96	96	48	80	48	fs_pack-wolf_hit_front_00_17b1530219	fs_pack-wolf_hit_front_01_87a426d670	fs_pack-wolf_hit_front_02_358ef94862	fs_pack-wolf_hit_front_03_84f9a7efca
pack-wolf	hit	left	8	0	96	96	48	80	48	fs_pack-wolf_hit_left_00_6c957008f5	fs_pack-wolf_hit_left_01_6d61074d3f	fs_pack-wolf_hit_left_02_98734c7bb7	fs_pack-wolf_hit_left_03_89a69a3c44
pack-wolf	hit	right	8	0	96	96	48	80	48	fs_pack-wolf_hit_right_00_3c6de24d7e	fs_pack-wolf_hit_right_01_ba0daa522e	fs_pack-wolf_hit_right_02_b5bb0628ba	fs_pack-wolf_hit_right_03_aad9f0504d
pack-wolf	idle	back	10	1	96	96	48	80	48	fs_pack-wolf_idle_back_00_ac26a990ca	fs_pack-wolf_idle_back_01_057b3e6b29	fs_pack-wolf_idle_back_02_c0e8ded8d2	fs_pack-wolf_idle_back_03_544b3633d8	fs_pack-wolf_idle_back_04_b9786027dc	fs_pack-wolf_idle_back_05_fbd0a9d9cd	fs_pack-wolf_idle_back_06_2f6ef58194	fs_pack-wolf_idle_back_07_6e220be8c3
pack-wolf	idle	front	10	1	96	96	48	80	48	fs_pack-wolf_idle_front_00_0c98ca5387	fs_pack-wolf_idle_front_01_950fcdce42	fs_pack-wolf_idle_front_02_405ac9d842	fs_pack-wolf_idle_front_03_3bd0adad34	fs_pack-wolf_idle_front_04_6dce0b537a	fs_pack-wolf_idle_front_05_cd7257b8f6	fs_pack-wolf_idle_front_06_11bd8df310	fs_pack-wolf_idle_front_07_58748fe2fe
pack-wolf	idle	left	10	1	96	96	48	80	48	fs_pack-wolf_idle_left_00_73796f5c9a	fs_pack-wolf_idle_left_01_6f524219f6	fs_pack-wolf_idle_left_02_5f5a6a7de1	fs_pack-wolf_idle_left_03_2bdaf62548	fs_pack-wolf_idle_left_04_82c5aaf2cb	fs_pack-wolf_idle_left_05_1634857611	fs_pack-wolf_idle_left_06_973aa215d0	fs_pack-wolf_idle_left_07_c16cd7a94d
pack-wolf	idle	right	10	1	96	96	48	80	48	fs_pack-wolf_idle_right_00_a0a2634ed7	fs_pack-wolf_idle_right_01_4e10856021	fs_pack-wolf_idle_right_02_7273f448a4	fs_pack-wolf_idle_right_03_fc85aa44c6	fs_pack-wolf_idle_right_04_3455063277	fs_pack-wolf_idle_right_05_6edaf69d3d	fs_pack-wolf_idle_right_06_b250bbe7c6	fs_pack-wolf_idle_right_07_8205321de9
pack-wolf	walk	back	10	1	96	96	48	80	48	fs_pack-wolf_walk_back_00_92a77bfb80	fs_pack-wolf_walk_back_01_8ee05ddd61	fs_pack-wolf_walk_back_02_0de1805be8	fs_pack-wolf_walk_back_03_7925894678	fs_pack-wolf_walk_back_04_b070821c50	fs_pack-wolf_walk_back_05_662e96ee8a	fs_pack-wolf_walk_back_06_5d1f24aa9c	fs_pack-wolf_walk_back_07_391578b535
pack-wolf	walk	front	10	1	96	96	48	80	48	fs_pack-wolf_walk_front_00_9dd551a1e2	fs_pack-wolf_walk_front_01_00e6993a49	fs_pack-wolf_walk_front_02_d9226b0223	fs_pack-wolf_walk_front_03_cf2975bc4a	fs_pack-wolf_walk_front_04_1e2277e0cb	fs_pack-wolf_walk_front_05_c4fec4621f	fs_pack-wolf_walk_front_06_0ddf5555e6	fs_pack-wolf_walk_front_07_84b2986a2d
pack-wolf	walk	left	10	1	96	96	48	80	48	fs_pack-wolf_walk_left_00_7cf4579343	fs_pack-wolf_walk_left_01_a19c9be429	fs_pack-wolf_walk_left_02_51c08b0d83	fs_pack-wolf_walk_left_03_255b3e9aea	fs_pack-wolf_walk_left_04_661c1687ea	fs_pack-wolf_walk_left_05_ad7c6b1113	fs_pack-wolf_walk_left_06_560d417adf	fs_pack-wolf_walk_left_07_a7f7f5b990
pack-wolf	walk	right	10	1	96	96	48	80	48	fs_pack-wolf_walk_right_00_e5295e69ea	fs_pack-wolf_walk_right_01_f6e85c9cbd	fs_pack-wolf_walk_right_02_7cdd1c1a9f	fs_pack-wolf_walk_right_03_a5603ddf3e	fs_pack-wolf_walk_right_04_45faa74e5c	fs_pack-wolf_walk_right_05_796930a301	fs_pack-wolf_walk_right_06_9ce68c8de2	fs_pack-wolf_walk_right_07_cf7158fc7b
palisade-breached	idle	front	1	0	256	256	128	200	48	fs_palisade-breached_idle_front_00_85e7d2a660
palisade-intact	idle	front	1	0	256	256	128	200	48	fs_palisade-intact_idle_front_00_0800990b65
