time_ms,x,y,moving,phase,pose
60,5,5,0.125,0.0732563,hero_se
120,10,10,0.182648,0.146513,hero_se
180,15,15,0.202768,0.219769,hero_walk0_se
240,20,20,0.214562,0.293025,hero_walk1_se
300,30,30,0.334512,0.439538,hero_walk1_se
360,35,35,0.321085,0.512794,hero_walk2_se
420,40,40,0.297589,0.586051,hero_walk2_se
480,45,45,0.270144,0.659307,hero_walk2_se
540,50,50,0.254057,0.732563,hero_walk2_se
600,60,60,0.357664,0.879076,hero_walk3_se
660,65,65,0.334656,0.952332,hero_walk3_se
720,70,70,0.305544,0.0255887,hero_walk0_se
780,75,75,0.274807,0.098845,hero_walk0_se
840,80,80,0.25679,0.172101,hero_walk0_se
900,90,90,0.359266,0.318614,hero_walk1_se
960,95,95,0.335595,0.39187,hero_walk1_se
1020,100,100,0.306095,0.465127,hero_walk1_se
1080,105,105,0.27513,0.538383,hero_walk2_se
1140,110,110,0.256979,0.611639,hero_walk2_se
1200,120,120,0.359377,0.758152,hero_walk3_se
1260,125,125,0.33566,0.831408,hero_walk3_se
1320,130,130,0.306133,0.904665,hero_walk3_se
1380,135,135,0.275153,0.977921,hero_walk3_se
1440,140,140,0.256992,0.0511774,hero_walk0_se
1500,150,150,0.359385,0.19769,hero_walk0_se
1560,155,155,0.335665,0.270946,hero_walk1_se
1620,160,160,0.306135,0.344203,hero_walk1_se
1680,165,165,0.275154,0.417459,hero_walk1_se
1740,170,170,0.256993,0.490715,hero_walk1_se
1800,180,180,0.359385,0.637228,hero_walk2_se
1860,180,180,0.210665,0.637228,hero_walk2_se
1920,180,180,0.123488,0.637228,hero_se
1980,180,180,0.0723863,0.637228,hero_se
2040,180,180,0.0424315,0.637228,hero_se
2100,180,180,0.0248726,0.637228,hero_se
2160,180,180,0.0145799,0.637228,hero_se
2220,180,180,0.00854644,0.637228,hero_se
2280,180,180,0.00500977,0.637228,hero_se
2340,180,180,0.00293663,0.637228,hero_se
2400,180,180,0.0017214,0.637228,hero_se
