time_ms,x,y,moving,phase,pose,captured_frame
15,0,-600,0,0,hero_nw,-1
30,0,-600,0,0,hero_nw,-1
45,0,-600,0,0,hero_nw,-1
60,-5,-605,1,0.0732563,hero_walk0_nw,0
75,-5,-605,0.875,0.0732563,hero_walk0_nw,-1
90,-5,-605,0.765625,0.0732563,hero_walk0_nw,-1
105,-10,-610,1,0.146513,hero_walk1_nw,-1
120,-10,-610,0.875,0.146513,hero_walk1_nw,1
135,-10,-610,0.765625,0.146513,hero_walk1_nw,-1
150,-15,-615,1,0.219769,hero_walk1_nw,-1
165,-15,-615,0.875,0.219769,hero_walk1_nw,-1
180,-15,-615,0.765625,0.219769,hero_walk1_nw,2
195,-15,-615,0.669922,0.219769,hero_walk1_nw,-1
210,-20,-620,1,0.293025,hero_walk2_nw,-1
225,-20,-620,0.875,0.293025,hero_walk2_nw,-1
240,-20,-620,0.765625,0.293025,hero_walk2_nw,3
255,-25,-625,1,0.366282,hero_walk2_nw,-1
270,-25,-625,0.875,0.366282,hero_walk2_nw,-1
285,-25,-625,0.765625,0.366282,hero_walk2_nw,-1
300,-30,-630,1,0.439538,hero_walk3_nw,4
315,-30,-630,0.875,0.439538,hero_walk3_nw,-1
330,-30,-630,0.765625,0.439538,hero_walk3_nw,-1
345,-30,-630,0.669922,0.439538,hero_walk3_nw,-1
360,-35,-635,1,0.512794,hero_walk4_nw,5
375,-35,-635,0.875,0.512794,hero_walk4_nw,-1
390,-35,-635,0.765625,0.512794,hero_walk4_nw,-1
405,-40,-640,1,0.586051,hero_walk4_nw,-1
420,-40,-640,0.875,0.586051,hero_walk4_nw,6
435,-40,-640,0.765625,0.586051,hero_walk4_nw,-1
450,-45,-645,1,0.659307,hero_walk5_nw,-1
465,-45,-645,0.875,0.659307,hero_walk5_nw,-1
480,-45,-645,0.765625,0.659307,hero_walk5_nw,7
495,-45,-645,0.669922,0.659307,hero_walk5_nw,-1
510,-50,-650,1,0.732563,hero_walk5_nw,-1
525,-50,-650,0.875,0.732563,hero_walk5_nw,-1
540,-50,-650,0.765625,0.732563,hero_walk5_nw,8
555,-55,-655,1,0.80582,hero_walk6_nw,-1
570,-55,-655,0.875,0.80582,hero_walk6_nw,-1
585,-55,-655,0.765625,0.80582,hero_walk6_nw,-1
600,-60,-660,1,0.879076,hero_walk7_nw,9
615,-60,-660,0.875,0.879076,hero_walk7_nw,-1
630,-60,-660,0.765625,0.879076,hero_walk7_nw,-1
645,-60,-660,0.669922,0.879076,hero_walk7_nw,-1
660,-65,-665,1,0.952332,hero_walk7_nw,10
675,-65,-665,0.875,0.952332,hero_walk7_nw,-1
690,-65,-665,0.765625,0.952332,hero_walk7_nw,-1
705,-70,-670,1,0.0255887,hero_walk0_nw,-1
720,-70,-670,0.875,0.0255887,hero_walk0_nw,11
735,-70,-670,0.765625,0.0255887,hero_walk0_nw,-1
750,-75,-675,1,0.098845,hero_walk0_nw,-1
765,-75,-675,0.875,0.098845,hero_walk0_nw,-1
780,-75,-675,0.765625,0.098845,hero_walk0_nw,12
795,-75,-675,0.669922,0.098845,hero_walk0_nw,-1
810,-80,-680,1,0.172101,hero_walk1_nw,-1
825,-80,-680,0.875,0.172101,hero_walk1_nw,-1
840,-80,-680,0.765625,0.172101,hero_walk1_nw,13
855,-85,-685,1,0.245358,hero_walk1_nw,-1
870,-85,-685,0.875,0.245358,hero_walk1_nw,-1
885,-85,-685,0.765625,0.245358,hero_walk1_nw,-1
900,-90,-690,1,0.318614,hero_walk2_nw,14
915,-90,-690,0.875,0.318614,hero_walk2_nw,-1
930,-90,-690,0.765625,0.318614,hero_walk2_nw,-1
945,-90,-690,0.669922,0.318614,hero_walk2_nw,-1
960,-95,-695,1,0.39187,hero_walk3_nw,15
975,-95,-695,0.875,0.39187,hero_walk3_nw,-1
990,-95,-695,0.765625,0.39187,hero_walk3_nw,-1
1005,-100,-700,1,0.465127,hero_walk3_nw,-1
1020,-100,-700,0.875,0.465127,hero_walk3_nw,16
1035,-100,-700,0.765625,0.465127,hero_walk3_nw,-1
1050,-105,-705,1,0.538383,hero_walk4_nw,-1
1065,-105,-705,0.875,0.538383,hero_walk4_nw,-1
1080,-105,-705,0.765625,0.538383,hero_walk4_nw,17
1095,-105,-705,0.669922,0.538383,hero_walk4_nw,-1
1110,-110,-710,1,0.611639,hero_walk4_nw,-1
1125,-110,-710,0.875,0.611639,hero_walk4_nw,-1
1140,-110,-710,0.765625,0.611639,hero_walk4_nw,18
1155,-115,-715,1,0.684896,hero_walk5_nw,-1
1170,-115,-715,0.875,0.684896,hero_walk5_nw,-1
1185,-115,-715,0.765625,0.684896,hero_walk5_nw,-1
1200,-120,-720,1,0.758152,hero_walk6_nw,19
1215,-120,-720,0.875,0.758152,hero_walk6_nw,-1
1230,-120,-720,0.765625,0.758152,hero_walk6_nw,-1
