time_ms,x,y,moving,phase,pose,captured_frame
15,0,-600,0,0,hero_sw,-1
30,0,-600,0,0,hero_sw,-1
45,0,-600,0,0,hero_sw,-1
60,-5,-595,1,0.0732563,hero_walk0_sw,0
75,-5,-595,0.875,0.0732563,hero_walk0_sw,-1
90,-5,-595,0.765625,0.0732563,hero_walk0_sw,-1
105,-10,-590,1,0.146513,hero_walk1_sw,-1
120,-10,-590,0.875,0.146513,hero_walk1_sw,1
135,-10,-590,0.765625,0.146513,hero_walk1_sw,-1
150,-15,-585,1,0.219769,hero_walk1_sw,-1
165,-15,-585,0.875,0.219769,hero_walk1_sw,-1
180,-15,-585,0.765625,0.219769,hero_walk1_sw,2
195,-15,-585,0.669922,0.219769,hero_walk1_sw,-1
210,-20,-580,1,0.293025,hero_walk2_sw,-1
225,-20,-580,0.875,0.293025,hero_walk2_sw,-1
240,-20,-580,0.765625,0.293025,hero_walk2_sw,3
255,-25,-575,1,0.366282,hero_walk2_sw,-1
270,-25,-575,0.875,0.366282,hero_walk2_sw,-1
285,-25,-575,0.765625,0.366282,hero_walk2_sw,-1
300,-30,-570,1,0.439538,hero_walk3_sw,4
315,-30,-570,0.875,0.439538,hero_walk3_sw,-1
330,-30,-570,0.765625,0.439538,hero_walk3_sw,-1
345,-30,-570,0.669922,0.439538,hero_walk3_sw,-1
360,-35,-565,1,0.512794,hero_walk4_sw,5
375,-35,-565,0.875,0.512794,hero_walk4_sw,-1
390,-35,-565,0.765625,0.512794,hero_walk4_sw,-1
405,-40,-560,1,0.586051,hero_walk4_sw,-1
420,-40,-560,0.875,0.586051,hero_walk4_sw,6
435,-40,-560,0.765625,0.586051,hero_walk4_sw,-1
450,-45,-555,1,0.659307,hero_walk5_sw,-1
465,-45,-555,0.875,0.659307,hero_walk5_sw,-1
480,-45,-555,0.765625,0.659307,hero_walk5_sw,7
495,-45,-555,0.669922,0.659307,hero_walk5_sw,-1
510,-50,-550,1,0.732563,hero_walk5_sw,-1
525,-50,-550,0.875,0.732563,hero_walk5_sw,-1
540,-50,-550,0.765625,0.732563,hero_walk5_sw,8
555,-55,-545,1,0.80582,hero_walk6_sw,-1
570,-55,-545,0.875,0.80582,hero_walk6_sw,-1
585,-55,-545,0.765625,0.80582,hero_walk6_sw,-1
600,-60,-540,1,0.879076,hero_walk7_sw,9
615,-60,-540,0.875,0.879076,hero_walk7_sw,-1
630,-60,-540,0.765625,0.879076,hero_walk7_sw,-1
645,-60,-540,0.669922,0.879076,hero_walk7_sw,-1
660,-65,-535,1,0.952332,hero_walk7_sw,10
675,-65,-535,0.875,0.952332,hero_walk7_sw,-1
690,-65,-535,0.765625,0.952332,hero_walk7_sw,-1
705,-70,-530,1,0.0255887,hero_walk0_sw,-1
720,-70,-530,0.875,0.0255887,hero_walk0_sw,11
735,-70,-530,0.765625,0.0255887,hero_walk0_sw,-1
750,-75,-525,1,0.098845,hero_walk0_sw,-1
765,-75,-525,0.875,0.098845,hero_walk0_sw,-1
780,-75,-525,0.765625,0.098845,hero_walk0_sw,12
795,-75,-525,0.669922,0.098845,hero_walk0_sw,-1
810,-80,-520,1,0.172101,hero_walk1_sw,-1
825,-80,-520,0.875,0.172101,hero_walk1_sw,-1
840,-80,-520,0.765625,0.172101,hero_walk1_sw,13
855,-85,-515,1,0.245358,hero_walk1_sw,-1
870,-85,-515,0.875,0.245358,hero_walk1_sw,-1
885,-85,-515,0.765625,0.245358,hero_walk1_sw,-1
900,-90,-510,1,0.318614,hero_walk2_sw,14
915,-90,-510,0.875,0.318614,hero_walk2_sw,-1
930,-90,-510,0.765625,0.318614,hero_walk2_sw,-1
945,-90,-510,0.669922,0.318614,hero_walk2_sw,-1
960,-95,-505,1,0.39187,hero_walk3_sw,15
975,-95,-505,0.875,0.39187,hero_walk3_sw,-1
990,-95,-505,0.765625,0.39187,hero_walk3_sw,-1
1005,-100,-500,1,0.465127,hero_walk3_sw,-1
1020,-100,-500,0.875,0.465127,hero_walk3_sw,16
1035,-100,-500,0.765625,0.465127,hero_walk3_sw,-1
1050,-105,-495,1,0.538383,hero_walk4_sw,-1
1065,-105,-495,0.875,0.538383,hero_walk4_sw,-1
1080,-105,-495,0.765625,0.538383,hero_walk4_sw,17
1095,-105,-495,0.669922,0.538383,hero_walk4_sw,-1
1110,-110,-490,1,0.611639,hero_walk4_sw,-1
1125,-110,-490,0.875,0.611639,hero_walk4_sw,-1
1140,-110,-490,0.765625,0.611639,hero_walk4_sw,18
1155,-115,-485,1,0.684896,hero_walk5_sw,-1
1170,-115,-485,0.875,0.684896,hero_walk5_sw,-1
1185,-115,-485,0.765625,0.684896,hero_walk5_sw,-1
1200,-120,-480,1,0.758152,hero_walk6_sw,19
1215,-120,-480,0.875,0.758152,hero_walk6_sw,-1
1230,-120,-480,0.765625,0.758152,hero_walk6_sw,-1
1245,-120,-480,0.669922,0.758152,hero_walk6_sw,-1
1260,-125,-475,1,0.831408,hero_walk6_sw,20
1275,-125,-475,0.875,0.831408,hero_walk6_sw,-1
1290,-125,-475,0.765625,0.831408,hero_walk6_sw,-1
1305,-130,-470,1,0.904665,hero_walk7_sw,-1
1320,-130,-470,0.875,0.904665,hero_walk7_sw,21
1335,-130,-470,0.765625,0.904665,hero_walk7_sw,-1
1350,-135,-465,1,0.977921,hero_walk7_sw,-1
1365,-135,-465,0.875,0.977921,hero_walk7_sw,-1
1380,-135,-465,0.765625,0.977921,hero_walk7_sw,22
1395,-135,-465,0.669922,0.977921,hero_walk7_sw,-1
1410,-140,-460,1,0.0511774,hero_walk0_sw,-1
1425,-140,-460,0.875,0.0511774,hero_walk0_sw,-1
1440,-140,-460,0.765625,0.0511774,hero_walk0_sw,23
1455,-145,-455,1,0.124434,hero_walk0_sw,-1
1470,-145,-455,0.875,0.124434,hero_walk0_sw,-1
1485,-145,-455,0.765625,0.124434,hero_walk0_sw,-1
1500,-150,-450,1,0.19769,hero_walk1_sw,24
1515,-150,-450,0.875,0.19769,hero_walk1_sw,-1
1530,-150,-450,0.765625,0.19769,hero_walk1_sw,-1
1545,-150,-450,0.669922,0.19769,hero_walk1_sw,-1
1560,-155,-445,1,0.270946,hero_walk2_sw,25
1575,-155,-445,0.875,0.270946,hero_walk2_sw,-1
1590,-155,-445,0.765625,0.270946,hero_walk2_sw,-1
1605,-160,-440,1,0.344203,hero_walk2_sw,-1
1620,-160,-440,0.875,0.344203,hero_walk2_sw,26
1635,-160,-440,0.765625,0.344203,hero_walk2_sw,-1
1650,-165,-435,1,0.417459,hero_walk3_sw,-1
1665,-165,-435,0.875,0.417459,hero_walk3_sw,-1
1680,-165,-435,0.765625,0.417459,hero_walk3_sw,27
1695,-165,-435,0.669922,0.417459,hero_walk3_sw,-1
1710,-170,-430,1,0.490715,hero_walk3_sw,-1
1725,-170,-430,0.875,0.490715,hero_walk3_sw,-1
1740,-170,-430,0.765625,0.490715,hero_walk3_sw,28
1755,-175,-425,1,0.563972,hero_walk4_sw,-1
1770,-175,-425,0.875,0.563972,hero_walk4_sw,-1
1785,-175,-425,0.765625,0.563972,hero_walk4_sw,-1
1800,-180,-420,1,0.637228,hero_walk5_sw,29
1815,-180,-420,0.875,0.637228,hero_walk5_sw,-1
1830,-180,-420,0.765625,0.637228,hero_walk5_sw,-1
1845,-180,-420,0.669922,0.637228,hero_walk5_sw,-1
1860,-180,-420,0.586182,0.637228,hero_walk5_sw,30
1875,-180,-420,0.512909,0.637228,hero_walk5_sw,-1
1890,-180,-420,0.448795,0.637228,hero_walk5_sw,-1
1905,-180,-420,0.392696,0.637228,hero_walk5_sw,-1
1920,-180,-420,0.343609,0.637228,hero_walk5_sw,31
1935,-180,-420,0.300658,0.637228,hero_walk5_sw,-1
1950,-180,-420,0.263076,0.637228,hero_walk5_sw,-1
1965,-180,-420,0.230191,0.637228,hero_walk5_sw,-1
1980,-180,-420,0.201417,0.637228,hero_walk5_sw,32
1995,-180,-420,0.17624,0.637228,hero_sw,-1
2010,-180,-420,0.15421,0.637228,hero_sw,-1
2025,-180,-420,0.134934,0.637228,hero_sw,-1
2040,-180,-420,0.118067,0.637228,hero_sw,33
2055,-180,-420,0.103309,0.637228,hero_sw,-1
2070,-180,-420,0.0903951,0.637228,hero_sw,-1
2085,-180,-420,0.0790957,0.637228,hero_sw,-1
2100,-180,-420,0.0692088,0.637228,hero_sw,34
2115,-180,-420,0.0605577,0.637228,hero_sw,-1
2130,-180,-420,0.052988,0.637228,hero_sw,-1
2145,-180,-420,0.0463645,0.637228,hero_sw,-1
2160,-180,-420,0.0405689,0.637228,hero_sw,35
2175,-180,-420,0.0354978,0.637228,hero_sw,-1
2190,-180,-420,0.0310606,0.637228,hero_sw,-1
2205,-180,-420,0.027178,0.637228,hero_sw,-1
2220,-180,-420,0.0237807,0.637228,hero_sw,36
2235,-180,-420,0.0208082,0.637228,hero_sw,-1
2250,-180,-420,0.0182071,0.637228,hero_sw,-1
2265,-180,-420,0.0159312,0.637228,hero_sw,-1
2280,-180,-420,0.0139398,0.637228,hero_sw,37
2295,-180,-420,0.0121974,0.637228,hero_sw,-1
2310,-180,-420,0.0106727,0.637228,hero_sw,-1
2325,-180,-420,0.0093386,0.637228,hero_sw,-1
2340,-180,-420,0.00817128,0.637228,hero_sw,38
2355,-180,-420,0.00714987,0.637228,hero_sw,-1
2370,-180,-420,0.00625613,0.637228,hero_sw,-1
2385,-180,-420,0.00547412,0.637228,hero_sw,-1
2400,-180,-420,0.00478985,0.637228,hero_sw,39
