mode,time_ms,x,y,moving,phase,pose,captured_frame
scripted-asset-review,15,300,400,0,0,raider_sw,-1
scripted-asset-review,30,300,400,0,0,raider_sw,-1
scripted-asset-review,45,300,400,0,0,raider_sw,-1
scripted-asset-review,60,294,406,1,0.0879076,raider_walk0_sw,-1
scripted-asset-review,75,294,406,0.875,0.0879076,raider_walk0_sw,0
scripted-asset-review,90,294,406,0.765625,0.0879076,raider_walk0_sw,-1
scripted-asset-review,105,288,412,1,0.175815,raider_walk1_sw,-1
scripted-asset-review,120,288,412,0.875,0.175815,raider_walk1_sw,-1
scripted-asset-review,135,288,412,0.765625,0.175815,raider_walk1_sw,-1
scripted-asset-review,150,282,418,1,0.263723,raider_walk2_sw,1
scripted-asset-review,165,282,418,0.875,0.263723,raider_walk2_sw,-1
scripted-asset-review,180,282,418,0.765625,0.263723,raider_walk2_sw,-1
scripted-asset-review,195,282,418,0.669922,0.263723,raider_walk2_sw,-1
scripted-asset-review,210,276,424,1,0.35163,raider_walk2_sw,-1
scripted-asset-review,225,276,424,0.875,0.35163,raider_walk2_sw,2
scripted-asset-review,240,276,424,0.765625,0.35163,raider_walk2_sw,-1
scripted-asset-review,255,270,430,1,0.439538,raider_walk3_sw,-1
scripted-asset-review,270,270,430,0.875,0.439538,raider_walk3_sw,-1
scripted-asset-review,285,270,430,0.765625,0.439538,raider_walk3_sw,-1
scripted-asset-review,300,264,436,1,0.527446,raider_walk4_sw,3
scripted-asset-review,315,264,436,0.875,0.527446,raider_walk4_sw,-1
scripted-asset-review,330,264,436,0.765625,0.527446,raider_walk4_sw,-1
scripted-asset-review,345,264,436,0.669922,0.527446,raider_walk4_sw,-1
scripted-asset-review,360,258,442,1,0.615353,raider_walk4_sw,-1
scripted-asset-review,375,258,442,0.875,0.615353,raider_walk4_sw,4
scripted-asset-review,390,258,442,0.765625,0.615353,raider_walk4_sw,-1
scripted-asset-review,405,252,448,1,0.703261,raider_walk5_sw,-1
scripted-asset-review,420,252,448,0.875,0.703261,raider_walk5_sw,-1
scripted-asset-review,435,252,448,0.765625,0.703261,raider_walk5_sw,-1
scripted-asset-review,450,246,454,1,0.791168,raider_walk6_sw,5
scripted-asset-review,465,246,454,0.875,0.791168,raider_walk6_sw,-1
scripted-asset-review,480,246,454,0.765625,0.791168,raider_walk6_sw,-1
scripted-asset-review,495,246,454,0.669922,0.791168,raider_walk6_sw,-1
scripted-asset-review,510,240,460,1,0.879076,raider_walk7_sw,-1
scripted-asset-review,525,240,460,0.875,0.879076,raider_walk7_sw,6
scripted-asset-review,540,240,460,0.765625,0.879076,raider_walk7_sw,-1
scripted-asset-review,555,234,466,1,0.966984,raider_walk7_sw,-1
scripted-asset-review,570,234,466,0.875,0.966984,raider_walk7_sw,-1
scripted-asset-review,585,234,466,0.765625,0.966984,raider_walk7_sw,-1
scripted-asset-review,600,228,472,1,0.0548912,raider_walk0_sw,7
scripted-asset-review,615,228,472,0.875,0.0548912,raider_walk0_sw,-1
scripted-asset-review,630,228,472,0.765625,0.0548912,raider_walk0_sw,-1
scripted-asset-review,645,228,472,0.669922,0.0548912,raider_walk0_sw,-1
scripted-asset-review,660,222,478,1,0.142799,raider_walk1_sw,-1
scripted-asset-review,675,222,478,0.875,0.142799,raider_walk1_sw,8
scripted-asset-review,690,222,478,0.765625,0.142799,raider_walk1_sw,-1
scripted-asset-review,705,216,484,1,0.230706,raider_walk1_sw,-1
scripted-asset-review,720,216,484,0.875,0.230706,raider_walk1_sw,-1
scripted-asset-review,735,216,484,0.765625,0.230706,raider_walk1_sw,-1
scripted-asset-review,750,210,490,1,0.318614,raider_walk2_sw,9
scripted-asset-review,765,210,490,0.875,0.318614,raider_walk2_sw,-1
scripted-asset-review,780,210,490,0.765625,0.318614,raider_walk2_sw,-1
scripted-asset-review,795,210,490,0.669922,0.318614,raider_walk2_sw,-1
scripted-asset-review,810,204,496,1,0.406522,raider_walk3_sw,-1
scripted-asset-review,825,204,496,0.875,0.406522,raider_walk3_sw,10
scripted-asset-review,840,204,496,0.765625,0.406522,raider_walk3_sw,-1
scripted-asset-review,855,198,502,1,0.494429,raider_walk3_sw,-1
scripted-asset-review,870,198,502,0.875,0.494429,raider_walk3_sw,-1
scripted-asset-review,885,198,502,0.765625,0.494429,raider_walk3_sw,-1
scripted-asset-review,900,192,508,1,0.582337,raider_walk4_sw,11
scripted-asset-review,915,192,508,0.875,0.582337,raider_walk4_sw,-1
scripted-asset-review,930,192,508,0.765625,0.582337,raider_walk4_sw,-1
scripted-asset-review,945,192,508,0.669922,0.582337,raider_walk4_sw,-1
scripted-asset-review,960,186,514,1,0.670244,raider_walk5_sw,-1
scripted-asset-review,975,186,514,0.875,0.670244,raider_walk5_sw,12
scripted-asset-review,990,186,514,0.765625,0.670244,raider_walk5_sw,-1
scripted-asset-review,1005,180,520,1,0.758152,raider_walk6_sw,-1
scripted-asset-review,1020,180,520,0.875,0.758152,raider_walk6_sw,-1
scripted-asset-review,1035,180,520,0.765625,0.758152,raider_walk6_sw,-1
scripted-asset-review,1050,174,526,1,0.84606,raider_walk6_sw,13
scripted-asset-review,1065,174,526,0.875,0.84606,raider_walk6_sw,-1
scripted-asset-review,1080,174,526,0.765625,0.84606,raider_walk6_sw,-1
scripted-asset-review,1095,174,526,0.669922,0.84606,raider_walk6_sw,-1
scripted-asset-review,1110,168,532,1,0.933967,raider_walk7_sw,-1
scripted-asset-review,1125,168,532,0.875,0.933967,raider_walk7_sw,14
scripted-asset-review,1140,168,532,0.765625,0.933967,raider_walk7_sw,-1
scripted-asset-review,1155,162,538,1,0.0218749,raider_walk0_sw,-1
scripted-asset-review,1170,162,538,0.875,0.0218749,raider_walk0_sw,-1
scripted-asset-review,1185,162,538,0.765625,0.0218749,raider_walk0_sw,-1
scripted-asset-review,1200,156,544,1,0.109782,raider_walk0_sw,15
scripted-asset-review,1215,156,544,0.875,0.109782,raider_walk0_sw,-1
scripted-asset-review,1230,156,544,0.765625,0.109782,raider_walk0_sw,-1
scripted-asset-review,1245,156,544,0.669922,0.109782,raider_walk0_sw,-1
scripted-asset-review,1260,150,550,1,0.19769,raider_walk1_sw,-1
scripted-asset-review,1275,150,550,0.875,0.19769,raider_walk1_sw,16
scripted-asset-review,1290,150,550,0.765625,0.19769,raider_walk1_sw,-1
scripted-asset-review,1305,144,556,1,0.285598,raider_walk2_sw,-1
scripted-asset-review,1320,144,556,0.875,0.285598,raider_walk2_sw,-1
scripted-asset-review,1335,144,556,0.765625,0.285598,raider_walk2_sw,-1
scripted-asset-review,1350,138,562,1,0.373505,raider_walk2_sw,17
scripted-asset-review,1365,138,562,0.875,0.373505,raider_walk2_sw,-1
