time_ms,core_tick,x,y,player_life,moving,phase,pose,pursuit_events,segments_clear,capture
15,1,2600,2600,100,0,0,raider_se,0,1,
30,1,2600,2600,100,0,0,raider_se,0,1,
45,1,2600,2600,100,0,0,raider_se,0,1,
60,2,2606,2606,100,1,0.0879076,raider_walk0_se,1,1,native-pursuit-se-walk-00.png
75,2,2606,2606,100,0.875,0.0879076,raider_walk0_se,1,1,
90,2,2606,2606,100,0.765625,0.0879076,raider_walk0_se,1,1,
105,3,2612,2612,100,1,0.175815,raider_walk0_se,2,1,
120,3,2612,2612,100,0.875,0.175815,raider_walk0_se,2,1,
135,3,2612,2612,100,0.765625,0.175815,raider_walk0_se,2,1,
150,4,2618,2618,100,1,0.263723,raider_walk1_se,3,1,native-pursuit-se-walk-01.png
165,4,2618,2618,100,0.875,0.263723,raider_walk1_se,3,1,
180,4,2618,2618,100,0.765625,0.263723,raider_walk1_se,3,1,
195,4,2618,2618,100,0.669922,0.263723,raider_walk1_se,3,1,
210,5,2624,2624,100,1,0.35163,raider_walk1_se,4,1,
225,5,2624,2624,100,0.875,0.35163,raider_walk1_se,4,1,
240,5,2624,2624,100,0.765625,0.35163,raider_walk1_se,4,1,
255,6,2630,2630,100,1,0.439538,raider_walk1_se,5,1,
270,6,2630,2630,100,0.875,0.439538,raider_walk1_se,5,1,
285,6,2630,2630,100,0.765625,0.439538,raider_walk1_se,5,1,
300,7,2636,2636,100,1,0.527446,raider_walk2_se,6,1,native-pursuit-se-walk-02.png
315,7,2636,2636,100,0.875,0.527446,raider_walk2_se,6,1,
330,7,2636,2636,100,0.765625,0.527446,raider_walk2_se,6,1,
345,7,2636,2636,100,0.669922,0.527446,raider_walk2_se,6,1,
360,8,2642,2642,100,1,0.615353,raider_walk2_se,7,1,
375,8,2642,2642,100,0.875,0.615353,raider_walk2_se,7,1,
390,8,2642,2642,100,0.765625,0.615353,raider_walk2_se,7,1,
405,9,2648,2648,100,1,0.703261,raider_walk2_se,8,1,
420,9,2648,2648,100,0.875,0.703261,raider_walk2_se,8,1,
435,9,2648,2648,100,0.765625,0.703261,raider_walk2_se,8,1,
450,10,2654,2654,100,1,0.791168,raider_walk3_se,9,1,native-pursuit-se-walk-03.png
465,10,2654,2654,100,0.875,0.791168,raider_walk3_se,9,1,
480,10,2654,2654,100,0.765625,0.791168,raider_walk3_se,9,1,
495,10,2654,2654,100,0.669922,0.791168,raider_walk3_se,9,1,
510,11,2660,2660,100,1,0.879076,raider_walk3_se,10,1,
525,11,2660,2660,100,0.875,0.879076,raider_walk3_se,10,1,
540,11,2660,2660,100,0.765625,0.879076,raider_walk3_se,10,1,
555,12,2666,2666,100,1,0.966984,raider_walk3_se,11,1,
570,12,2666,2666,100,0.875,0.966984,raider_walk3_se,11,1,
585,12,2666,2666,100,0.765625,0.966984,raider_walk3_se,11,1,
600,13,2672,2672,100,1,0.0548912,raider_walk0_se,12,1,
615,13,2672,2672,100,0.875,0.0548912,raider_walk0_se,12,1,
630,13,2672,2672,100,0.765625,0.0548912,raider_walk0_se,12,1,
645,13,2672,2672,100,0.669922,0.0548912,raider_walk0_se,12,1,
660,14,2678,2678,100,1,0.142799,raider_walk0_se,13,1,
675,14,2678,2678,100,0.875,0.142799,raider_walk0_se,13,1,
690,14,2678,2678,100,0.765625,0.142799,raider_walk0_se,13,1,
705,15,2684,2684,100,1,0.230706,raider_walk0_se,14,1,
720,15,2684,2684,100,0.875,0.230706,raider_walk0_se,14,1,
735,15,2684,2684,100,0.765625,0.230706,raider_walk0_se,14,1,
750,16,2690,2690,100,1,0.318614,raider_walk1_se,15,1,
765,16,2690,2690,100,0.875,0.318614,raider_walk1_se,15,1,
780,16,2690,2690,100,0.765625,0.318614,raider_walk1_se,15,1,
795,16,2690,2690,100,0.669922,0.318614,raider_walk1_se,15,1,
810,17,2696,2696,100,1,0.406522,raider_walk1_se,16,1,
825,17,2696,2696,100,0.875,0.406522,raider_walk1_se,16,1,
840,17,2696,2696,100,0.765625,0.406522,raider_walk1_se,16,1,
855,18,2702,2702,100,1,0.494429,raider_walk1_se,17,1,
870,18,2702,2702,100,0.875,0.494429,raider_walk1_se,17,1,
885,18,2702,2702,100,0.765625,0.494429,raider_walk1_se,17,1,
900,19,2708,2708,100,1,0.582337,raider_walk2_se,18,1,
915,19,2708,2708,100,0.875,0.582337,raider_walk2_se,18,1,
930,19,2708,2708,100,0.765625,0.582337,raider_walk2_se,18,1,
945,19,2708,2708,100,0.669922,0.582337,raider_walk2_se,18,1,
960,20,2714,2714,100,1,0.670244,raider_walk2_se,19,1,
975,20,2714,2714,100,0.875,0.670244,raider_walk2_se,19,1,
