time_ms,actor,raw_x,raw_y,display_x,display_y,authority_changed,moving,phase,pose,life,target_hit
25.2758,monster-1-13,35.9651,36.345,36.9999,36,1,0,0,wight_sw,100,0
36.7913,monster-1-13,35.9651,36.345,36.8021,36.066,0,1,0.229329,wight_walk1_sw,100,0
66.9202,monster-1-13,35.2751,36.575,35.965,36.345,1,1,0.212165,wight_walk1_sw,100,0
87.3103,monster-1-13,35.2751,36.575,35.8722,36.3759,0,1,0.320327,wight_walk2_sw,100,0
116.226,monster-1-13,35.2751,36.575,35.7377,36.4208,0,1,0.47434,wight_walk3_sw,100,0
144.943,monster-1-13,35.2751,36.575,35.6123,36.4626,0,1,0.628352,wight_walk5_sw,100,0
172.611,monster-1-13,35.2751,36.575,35.4807,36.5064,0,1,0.779196,wight_walk6_sw,100,0
200.014,monster-1-13,35.2751,36.575,35.3545,36.5485,0,1,0.923495,wight_walk7_sw,100,0
227.291,monster-1-13,35.2751,36.575,35.2751,36.575,0,1,0.0217784,wight_walk0_sw,100,0
253.628,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.774443,0.0217784,wight_walk0_sw,100,0
279.136,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.62802,0.0217784,wight_walk0_sw,100,0
293.319,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.541519,0.0217784,wight_walk0_sw,100,0
313.781,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.465952,0.0217784,wight_walk0_sw,100,0
326.582,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.400953,0.0217784,wight_walk0_sw,100,0
343.12,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.345834,0.0217784,wight_walk0_sw,100,0
360.103,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.29731,0.0217784,wight_walk0_sw,100,0
376.546,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.256372,0.0217784,wight_walk0_sw,100,0
393.388,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.220833,0.0217784,wight_walk0_sw,100,0
411.264,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.186843,0.0217784,wight_sw,100,0
427.959,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.160644,0.0217784,wight_sw,100,0
448.737,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.134332,0.0217784,wight_sw,100,0
476.78,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.102316,0.0217784,wight_sw,100,0
493.878,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.0879927,0.0217784,wight_sw,100,0
510.403,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.0759267,0.0217784,wight_sw,100,0
526.847,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.0652234,0.0217784,wight_sw,100,0
563.756,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.0472488,0.0217784,wight_sw,100,0
579.529,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.040459,0.0217784,wight_sw,100,0
593.856,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.0349123,0.0217784,wight_sw,100,0
609.761,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.0301859,0.0217784,wight_sw,100,0
626.156,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.0260162,0.0217784,wight_sw,100,0
644.443,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.0223784,0.0217784,wight_sw,100,0
660.59,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.0191114,0.0217784,wight_sw,100,0
678.849,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.0161602,0.0217784,wight_sw,100,0
707.924,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.0122623,0.0217784,wight_sw,100,0
726.544,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.0103849,0.0217784,wight_sw,100,0
760.324,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.00750226,0.0217784,wight_sw,100,0
776.302,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.00646198,0.0217784,wight_sw,100,0
793.127,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.00556487,0.0217784,wight_sw,100,0
809.956,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.00478874,0.0217784,wight_sw,100,0
830.025,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.00412666,0.0217784,wight_sw,100,0
842.951,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.00355619,0.0217784,wight_sw,100,0
860.542,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.00305668,0.0217784,wight_sw,100,0
876.361,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.00263281,0.0217784,wight_sw,100,0
893.052,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.00226745,0.0217784,wight_sw,100,0
911.138,monster-1-13,35.2751,36.575,35.2751,36.575,0,0.00192669,0.0217784,wight_sw,100,0
