time_ms,core_tick,x,y,player_life,moving,phase,pose,pursuit_events,segments_clear,capture
15,1,0,-100,100,0,0,raider_se,0,1,
30,1,0,-100,100,0,0,raider_se,0,1,
45,1,0,-100,100,0,0,raider_se,0,1,
60,2,7,-96,100,1,0.0835251,raider_se,1,1,
75,2,7,-96,100,0.875,0.0835251,raider_se,1,1,
90,2,7,-96,100,0.765625,0.0835251,raider_se,1,1,
105,3,14,-92,100,1,0.16705,raider_se,2,1,
120,3,14,-92,100,0.875,0.16705,raider_se,2,1,
135,3,14,-92,100,0.765625,0.16705,raider_se,2,1,
150,4,21,-88,100,1,0.250575,raider_se,3,1,
165,4,21,-88,100,0.875,0.250575,raider_se,3,1,
180,4,21,-88,100,0.765625,0.250575,raider_se,3,1,
195,4,21,-88,100,0.669922,0.250575,raider_se,3,1,
210,5,28,-84,100,1,0.3341,raider_se,4,1,
225,5,28,-84,100,0.875,0.3341,raider_se,4,1,
240,5,28,-84,100,0.765625,0.3341,raider_se,4,1,
255,6,35,-80,100,1,0.417625,raider_se,5,1,
270,6,35,-80,100,0.875,0.417625,raider_se,5,1,
285,6,35,-80,100,0.765625,0.417625,raider_se,5,1,
300,7,42,-76,100,1,0.50115,raider_se,6,1,
315,7,42,-76,100,0.875,0.50115,raider_se,6,1,
330,7,42,-76,100,0.765625,0.50115,raider_se,6,1,
345,7,42,-76,100,0.669922,0.50115,raider_se,6,1,
360,8,49,-72,100,1,0.584676,raider_se,7,1,
375,8,49,-72,100,0.875,0.584676,raider_se,7,1,
390,8,49,-72,100,0.765625,0.584676,raider_se,7,1,
405,9,56,-68,100,1,0.668201,raider_se,8,1,
420,9,56,-68,100,0.875,0.668201,raider_se,8,1,
435,9,56,-68,100,0.765625,0.668201,raider_se,8,1,
450,10,63,-64,100,1,0.751726,raider_se,9,1,
465,10,63,-64,100,0.875,0.751726,raider_se,9,1,
480,10,63,-64,100,0.765625,0.751726,raider_se,9,1,
495,10,63,-64,100,0.669922,0.751726,raider_se,9,1,
510,11,70,-60,100,1,0.835251,raider_se,10,1,
525,11,70,-60,100,0.875,0.835251,raider_se,10,1,
540,11,70,-60,100,0.765625,0.835251,raider_se,10,1,
555,12,77,-56,100,1,0.918776,raider_se,11,1,
570,12,77,-56,100,0.875,0.918776,raider_se,11,1,
585,12,77,-56,100,0.765625,0.918776,raider_se,11,1,
600,13,84,-52,100,1,0.00230089,raider_se,12,1,
615,13,84,-52,100,0.875,0.00230089,raider_se,12,1,
630,13,84,-52,100,0.765625,0.00230089,raider_se,12,1,
645,13,84,-52,100,0.669922,0.00230089,raider_se,12,1,
660,14,91,-48,100,1,0.085826,raider_se,13,1,
675,14,91,-48,100,0.875,0.085826,raider_se,13,1,
690,14,91,-48,100,0.765625,0.085826,raider_se,13,1,
705,15,97,-43,100,1,0.16674,raider_se,14,1,
720,15,97,-43,100,0.875,0.16674,raider_se,14,1,
735,15,97,-43,100,0.765625,0.16674,raider_se,14,1,
750,16,104,-39,100,1,0.250265,raider_se,15,1,
765,16,104,-39,100,0.875,0.250265,raider_se,15,1,
780,16,104,-39,100,0.765625,0.250265,raider_se,15,1,
795,16,104,-39,100,0.669922,0.250265,raider_se,15,1,
810,17,110,-34,100,1,0.33118,raider_se,16,1,
825,17,110,-34,100,0.875,0.33118,raider_se,16,1,
840,17,110,-34,100,0.765625,0.33118,raider_se,16,1,
855,18,117,-29,100,1,0.4203,raider_se,17,1,native-pursuit-tree-detour-mid.png
870,18,117,-29,100,0.875,0.4203,raider_se,17,1,
885,18,117,-29,100,0.765625,0.4203,raider_se,17,1,
900,19,124,-24,100,1,0.50942,raider_se,18,1,
915,19,124,-24,100,0.875,0.50942,raider_se,18,1,
930,19,124,-24,100,0.765625,0.50942,raider_se,18,1,
945,19,124,-24,100,0.669922,0.50942,raider_se,18,1,
960,20,131,-19,100,1,0.59854,raider_se,19,1,
975,20,131,-19,100,0.875,0.59854,raider_se,19,1,
990,20,131,-19,100,0.765625,0.59854,raider_se,19,1,
1005,21,138,-14,100,1,0.68766,raider_se,20,1,
1020,21,138,-14,100,0.875,0.68766,raider_se,20,1,
1035,21,138,-14,100,0.765625,0.68766,raider_se,20,1,
1050,22,145,-9,100,1,0.77678,raider_se,21,1,
1065,22,145,-9,100,0.875,0.77678,raider_se,21,1,
1080,22,145,-9,100,0.765625,0.77678,raider_se,21,1,
1095,22,145,-9,100,0.669922,0.77678,raider_se,21,1,
1110,23,152,-4,100,1,0.865901,raider_se,22,1,
1125,23,152,-4,100,0.875,0.865901,raider_se,22,1,
1140,23,152,-4,100,0.765625,0.865901,raider_se,22,1,
1155,24,159,1,100,1,0.955021,raider_se,23,1,
1170,24,159,1,100,0.875,0.955021,raider_se,23,1,
1185,24,159,1,100,0.765625,0.955021,raider_se,23,1,
1200,25,171,1,100,1,0.0793409,raider_se,24,1,
1215,25,171,1,100,0.875,0.0793409,raider_se,24,1,
1230,25,171,1,100,0.765625,0.0793409,raider_se,24,1,
1245,25,171,1,100,0.669922,0.0793409,raider_se,24,1,
1260,26,183,1,100,1,0.203661,raider_se,25,1,
1275,26,183,1,100,0.875,0.203661,raider_se,25,1,
1290,26,183,1,100,0.765625,0.203661,raider_se,25,1,
1305,27,195,1,100,1,0.327981,raider_se,26,1,
1320,27,195,1,100,0.875,0.327981,raider_se,26,1,
1335,27,195,1,100,0.765625,0.327981,raider_se,26,1,
1350,28,207,1,100,1,0.452301,raider_se,27,1,
1365,28,207,1,100,0.875,0.452301,raider_se,27,1,
1380,28,207,1,100,0.765625,0.452301,raider_se,27,1,
1395,28,207,1,100,0.669922,0.452301,raider_se,27,1,
1410,29,219,1,100,1,0.576621,raider_se,28,1,
1425,29,219,1,100,0.875,0.576621,raider_se,28,1,
1440,29,219,1,100,0.765625,0.576621,raider_se,28,1,
1455,30,231,1,100,1,0.700942,raider_se,29,1,
1470,30,231,1,100,0.875,0.700942,raider_se,29,1,
1485,30,231,1,100,0.765625,0.700942,raider_se,29,1,
1500,31,243,1,100,1,0.825262,raider_se,30,1,
1515,31,243,1,100,0.875,0.825262,raider_se,30,1,
1530,31,243,1,100,0.765625,0.825262,raider_se,30,1,
1545,31,243,1,100,0.669922,0.825262,raider_se,30,1,
1560,32,255,1,100,1,0.949582,raider_se,31,1,
1575,32,255,1,100,0.875,0.949582,raider_se,31,1,
1590,32,255,1,100,0.765625,0.949582,raider_se,31,1,
1605,33,267,1,100,1,0.0739019,raider_se,32,1,
1620,33,267,1,100,0.875,0.0739019,raider_se,32,1,
1635,33,267,1,100,0.765625,0.0739019,raider_se,32,1,
1650,34,279,1,100,1,0.198222,raider_se,33,1,
1665,34,279,1,100,0.875,0.198222,raider_se,33,1,
1680,34,279,1,100,0.765625,0.198222,raider_se,33,1,
1695,34,279,1,100,0.669922,0.198222,raider_se,33,1,
1710,35,287,-2,100,1,0.286738,raider_walk1_ne,34,1,
1725,35,287,-2,100,0.875,0.286738,raider_walk1_ne,34,1,
1740,35,287,-2,100,0.765625,0.286738,raider_walk1_ne,34,1,
1755,36,295,-5,100,1,0.375254,raider_walk2_ne,35,1,
1770,36,295,-5,100,0.875,0.375254,raider_walk2_ne,35,1,
1785,36,295,-5,100,0.765625,0.375254,raider_walk2_ne,35,1,
1800,37,303,-8,100,1,0.46377,raider_walk2_ne,36,1,
1815,37,303,-8,100,0.875,0.46377,raider_walk2_ne,36,1,
1830,37,303,-8,100,0.765625,0.46377,raider_walk2_ne,36,1,
1845,37,303,-8,100,0.669922,0.46377,raider_walk2_ne,36,1,
1860,38,311,-11,100,1,0.552286,raider_walk3_ne,37,1,
1875,38,311,-11,100,0.875,0.552286,raider_walk3_ne,37,1,
1890,38,311,-11,100,0.765625,0.552286,raider_walk3_ne,37,1,
1905,39,319,-14,100,1,0.640802,raider_walk3_ne,38,1,
1920,39,319,-14,100,0.875,0.640802,raider_walk3_ne,38,1,
1935,39,319,-14,100,0.765625,0.640802,raider_walk3_ne,38,1,
1950,40,327,-17,100,1,0.729318,raider_walk4_ne,39,1,
1965,40,327,-17,100,0.875,0.729318,raider_walk4_ne,39,1,
1980,40,327,-17,100,0.765625,0.729318,raider_walk4_ne,39,1,
1995,40,327,-17,100,0.669922,0.729318,raider_walk4_ne,39,1,
2010,41,335,-20,100,1,0.817834,raider_walk4_ne,40,1,
2025,41,335,-20,100,0.875,0.817834,raider_walk4_ne,40,1,
2040,41,335,-20,100,0.765625,0.817834,raider_walk4_ne,40,1,
2055,42,343,-23,100,1,0.90635,raider_walk5_ne,41,1,
2070,42,343,-23,100,0.875,0.90635,raider_walk5_ne,41,1,
2085,42,343,-23,100,0.765625,0.90635,raider_walk5_ne,41,1,
2100,43,351,-26,100,1,0.994866,raider_walk5_ne,42,1,
2115,43,351,-26,100,0.875,0.994866,raider_walk5_ne,42,1,
2130,43,351,-26,100,0.765625,0.994866,raider_walk5_ne,42,1,
2145,43,351,-26,100,0.669922,0.994866,raider_walk5_ne,42,1,
2160,44,359,-29,100,1,0.0833817,raider_walk0_ne,43,1,
2175,44,359,-29,100,0.875,0.0833817,raider_walk0_ne,43,1,
2190,44,359,-29,100,0.765625,0.0833817,raider_walk0_ne,43,1,
2205,45,366,-33,100,1,0.166907,raider_walk1_ne,44,1,
2220,45,366,-33,100,0.875,0.166907,raider_walk1_ne,44,1,
2235,45,366,-33,100,0.765625,0.166907,raider_walk1_ne,44,1,
2250,46,374,-37,100,1,0.25957,raider_walk1_ne,45,1,
2265,46,374,-37,100,0.875,0.25957,raider_walk1_ne,45,1,
2280,46,374,-37,100,0.765625,0.25957,raider_walk1_ne,45,1,
2295,46,374,-37,100,0.669922,0.25957,raider_walk1_ne,45,1,
2310,47,382,-41,100,1,0.352232,raider_walk2_ne,46,1,
2325,47,382,-41,100,0.875,0.352232,raider_walk2_ne,46,1,
2340,47,382,-41,100,0.765625,0.352232,raider_walk2_ne,46,1,
2355,48,390,-45,100,1,0.444895,raider_walk2_ne,47,1,
2370,48,390,-45,100,0.875,0.444895,raider_walk2_ne,47,1,
2385,48,390,-45,100,0.765625,0.444895,raider_walk2_ne,47,1,
2400,49,398,-49,100,1,0.537558,raider_walk3_ne,48,1,
2415,49,398,-49,100,0.875,0.537558,raider_walk3_ne,48,1,
2430,49,398,-49,100,0.765625,0.537558,raider_walk3_ne,48,1,
2445,49,398,-49,100,0.669922,0.537558,raider_walk3_ne,48,1,
2460,50,404,-52,100,1,0.607055,raider_walk3_ne,49,1,
2475,50,404,-52,100,0.875,0.607055,raider_walk3_ne,49,1,
2490,50,404,-52,100,0.765625,0.607055,raider_walk3_ne,49,1,
2505,51,405,-52,100,1,0.617415,raider_se,50,1,
2520,51,405,-52,100,0.875,0.617415,raider_se,50,1,
2535,51,405,-52,100,0.765625,0.617415,raider_se,50,1,
2550,52,405,-52,89,0.669922,0.617415,raider_attack_ne,50,1,native-pursuit-tree-detour-contact.png
2565,52,405,-52,89,0.586182,0.617415,raider_attack_ne,50,1,
2580,52,405,-52,89,0.512909,0.617415,raider_attack_ne,50,1,
2595,52,405,-52,89,0.448795,0.617415,raider_attack_ne,50,1,
2610,53,405,-52,89,0.392696,0.617415,raider_attack_ne,50,1,
2625,53,405,-52,89,0.343609,0.617415,raider_attack_ne,50,1,
2640,53,405,-52,89,0.300658,0.617415,raider_attack_ne,50,1,
2655,54,405,-52,89,0.263076,0.617415,raider_walk3_ne,50,1,
2670,54,405,-52,89,0.230191,0.617415,raider_walk3_ne,50,1,
2685,54,405,-52,89,0.201417,0.617415,raider_walk3_ne,50,1,
2700,55,405,-52,89,0.17624,0.617415,raider_ne,50,1,
2715,55,405,-52,89,0.15421,0.617415,raider_ne,50,1,
2730,55,405,-52,89,0.134934,0.617415,raider_ne,50,1,
2745,55,405,-52,89,0.118067,0.617415,raider_ne,50,1,
2760,56,405,-52,89,0.103309,0.617415,raider_ne,50,1,
2775,56,405,-52,89,0.0903951,0.617415,raider_ne,50,1,
2790,56,405,-52,89,0.0790957,0.617415,raider_ne,50,1,
2805,57,405,-52,78,0.0692088,0.617415,raider_attack_ne,50,1,
2820,57,405,-52,78,0.0605577,0.617415,raider_attack_ne,50,1,
2835,57,405,-52,78,0.052988,0.617415,raider_attack_ne,50,1,
2850,58,405,-52,78,0.0463645,0.617415,raider_attack_ne,50,1,
2865,58,405,-52,78,0.0405689,0.617415,raider_attack_ne,50,1,
2880,58,405,-52,78,0.0354978,0.617415,raider_attack_ne,50,1,
2895,58,405,-52,78,0.0310606,0.617415,raider_attack_ne,50,1,
2910,59,405,-52,78,0.027178,0.617415,raider_ne,50,1,
2925,59,405,-52,78,0.0237807,0.617415,raider_ne,50,1,
2940,59,405,-52,78,0.0208082,0.617415,raider_ne,50,1,
2955,60,405,-52,78,0.0182071,0.617415,raider_ne,50,1,
2970,60,405,-52,78,0.0159312,0.617415,raider_ne,50,1,
2985,60,405,-52,78,0.0139398,0.617415,raider_ne,50,1,
3000,61,405,-52,78,0.0121974,0.617415,raider_ne,50,1,
3015,61,405,-52,78,0.0106727,0.617415,raider_ne,50,1,
3030,61,405,-52,78,0.0093386,0.617415,raider_ne,50,1,
3045,61,405,-52,78,0.00817128,0.617415,raider_ne,50,1,
3060,62,405,-52,67,0.00714987,0.617415,raider_attack_ne,50,1,
3075,62,405,-52,67,0.00625613,0.617415,raider_attack_ne,50,1,
3090,62,405,-52,67,0.00547412,0.617415,raider_attack_ne,50,1,
3105,63,405,-52,67,0.00478985,0.617415,raider_attack_ne,50,1,
3120,63,405,-52,67,0.00419112,0.617415,raider_attack_ne,50,1,
3135,63,405,-52,67,0.00366723,0.617415,raider_attack_ne,50,1,
3150,64,405,-52,67,0.00320883,0.617415,raider_ne,50,1,
