time_ms,x,y,moving,phase,pose,captured_frame
15,0,-600,0,0,hero_nw,-1
30,0,-600,0,0,hero_nw,-1
45,0,-600,0,0,hero_nw,-1
60,-5,-605,0.125,0.0732563,hero_nw,0
75,-5,-605,0.109375,0.0732563,hero_nw,-1
90,-5,-605,0.0957031,0.0732563,hero_nw,-1
105,-10,-610,0.20874,0.146513,hero_walk1_nw,-1
120,-10,-610,0.182648,0.146513,hero_nw,1
135,-10,-610,0.159817,0.146513,hero_nw,-1
150,-15,-615,0.26484,0.219769,hero_walk1_nw,-1
165,-15,-615,0.231735,0.219769,hero_walk1_nw,-1
180,-15,-615,0.202768,0.219769,hero_walk1_nw,2
195,-15,-615,0.177422,0.219769,hero_nw,-1
210,-20,-620,0.280244,0.293025,hero_walk2_nw,-1
225,-20,-620,0.245214,0.293025,hero_walk2_nw,-1
240,-20,-620,0.214562,0.293025,hero_walk2_nw,3
255,-25,-625,0.312742,0.366282,hero_walk2_nw,-1
270,-25,-625,0.273649,0.366282,hero_walk2_nw,-1
285,-25,-625,0.239443,0.366282,hero_walk2_nw,-1
300,-30,-630,0.334512,0.439538,hero_walk3_nw,4
315,-30,-630,0.292698,0.439538,hero_walk3_nw,-1
330,-30,-630,0.256111,0.439538,hero_walk3_nw,-1
345,-30,-630,0.224097,0.439538,hero_walk3_nw,-1
360,-35,-635,0.321085,0.512794,hero_walk4_nw,5
375,-35,-635,0.280949,0.512794,hero_walk4_nw,-1
390,-35,-635,0.245831,0.512794,hero_walk4_nw,-1
405,-40,-640,0.340102,0.586051,hero_walk4_nw,-1
420,-40,-640,0.297589,0.586051,hero_walk4_nw,6
435,-40,-640,0.260391,0.586051,hero_walk4_nw,-1
450,-45,-645,0.352842,0.659307,hero_walk5_nw,-1
465,-45,-645,0.308737,0.659307,hero_walk5_nw,-1
480,-45,-645,0.270144,0.659307,hero_walk5_nw,7
495,-45,-645,0.236376,0.659307,hero_walk5_nw,-1
510,-50,-650,0.331829,0.732563,hero_walk5_nw,-1
525,-50,-650,0.290351,0.732563,hero_walk5_nw,-1
540,-50,-650,0.254057,0.732563,hero_walk5_nw,8
555,-55,-655,0.3473,0.80582,hero_walk6_nw,-1
570,-55,-655,0.303887,0.80582,hero_walk6_nw,-1
585,-55,-655,0.265901,0.80582,hero_walk6_nw,-1
600,-60,-660,0.357664,0.879076,hero_walk7_nw,9
615,-60,-660,0.312956,0.879076,hero_walk7_nw,-1
630,-60,-660,0.273836,0.879076,hero_walk7_nw,-1
645,-60,-660,0.239607,0.879076,hero_walk7_nw,-1
660,-65,-665,0.334656,0.952332,hero_walk7_nw,10
675,-65,-665,0.292824,0.952332,hero_walk7_nw,-1
690,-65,-665,0.256221,0.952332,hero_walk7_nw,-1
705,-70,-670,0.349193,0.0255887,hero_walk0_nw,-1
720,-70,-670,0.305544,0.0255887,hero_walk0_nw,11
735,-70,-670,0.267351,0.0255887,hero_walk0_nw,-1
750,-75,-675,0.358932,0.098845,hero_walk0_nw,-1
765,-75,-675,0.314066,0.098845,hero_walk0_nw,-1
780,-75,-675,0.274807,0.098845,hero_walk0_nw,12
795,-75,-675,0.240457,0.098845,hero_walk0_nw,-1
810,-80,-680,0.335399,0.172101,hero_walk1_nw,-1
825,-80,-680,0.293475,0.172101,hero_walk1_nw,-1
840,-80,-680,0.25679,0.172101,hero_walk1_nw,13
855,-85,-685,0.349691,0.245358,hero_walk1_nw,-1
870,-85,-685,0.30598,0.245358,hero_walk1_nw,-1
885,-85,-685,0.267733,0.245358,hero_walk1_nw,-1
900,-90,-690,0.359266,0.318614,hero_walk2_nw,14
915,-90,-690,0.314358,0.318614,hero_walk2_nw,-1
930,-90,-690,0.275063,0.318614,hero_walk2_nw,-1
945,-90,-690,0.24068,0.318614,hero_walk2_nw,-1
960,-95,-695,0.335595,0.39187,hero_walk3_nw,15
975,-95,-695,0.293646,0.39187,hero_walk3_nw,-1
990,-95,-695,0.25694,0.39187,hero_walk3_nw,-1
1005,-100,-700,0.349823,0.465127,hero_walk3_nw,-1
1020,-100,-700,0.306095,0.465127,hero_walk3_nw,16
1035,-100,-700,0.267833,0.465127,hero_walk3_nw,-1
1050,-105,-705,0.359354,0.538383,hero_walk4_nw,-1
1065,-105,-705,0.314435,0.538383,hero_walk4_nw,-1
1080,-105,-705,0.27513,0.538383,hero_walk4_nw,17
1095,-105,-705,0.240739,0.538383,hero_walk4_nw,-1
1110,-110,-710,0.335647,0.611639,hero_walk4_nw,-1
1125,-110,-710,0.293691,0.611639,hero_walk4_nw,-1
1140,-110,-710,0.256979,0.611639,hero_walk4_nw,18
1155,-115,-715,0.349857,0.684896,hero_walk5_nw,-1
1170,-115,-715,0.306125,0.684896,hero_walk5_nw,-1
1185,-115,-715,0.267859,0.684896,hero_walk5_nw,-1
