time_ms,x,y,moving,phase,pose,captured_frame
15,0,0,0,0,hero_se,-1
30,0,0,0,0,hero_se,-1
45,0,0,0,0,hero_se,-1
60,5,5,0.125,0.0732563,hero_se,0
75,5,5,0.109375,0.0732563,hero_se,-1
90,5,5,0.0957031,0.0732563,hero_se,-1
105,10,10,0.20874,0.146513,hero_walk0_se,-1
120,10,10,0.182648,0.146513,hero_se,1
135,10,10,0.159817,0.146513,hero_se,-1
150,15,15,0.26484,0.219769,hero_walk0_se,-1
165,15,15,0.231735,0.219769,hero_walk0_se,-1
180,15,15,0.202768,0.219769,hero_walk0_se,2
195,15,15,0.177422,0.219769,hero_se,-1
210,20,20,0.280244,0.293025,hero_walk1_se,-1
225,20,20,0.245214,0.293025,hero_walk1_se,-1
240,20,20,0.214562,0.293025,hero_walk1_se,3
255,25,25,0.312742,0.366282,hero_walk1_se,-1
270,25,25,0.273649,0.366282,hero_walk1_se,-1
285,25,25,0.239443,0.366282,hero_walk1_se,-1
300,30,30,0.334512,0.439538,hero_walk1_se,4
315,30,30,0.292698,0.439538,hero_walk1_se,-1
330,30,30,0.256111,0.439538,hero_walk1_se,-1
345,30,30,0.224097,0.439538,hero_walk1_se,-1
360,35,35,0.321085,0.512794,hero_walk2_se,5
375,35,35,0.280949,0.512794,hero_walk2_se,-1
390,35,35,0.245831,0.512794,hero_walk2_se,-1
405,40,40,0.340102,0.586051,hero_walk2_se,-1
420,40,40,0.297589,0.586051,hero_walk2_se,6
435,40,40,0.260391,0.586051,hero_walk2_se,-1
450,45,45,0.352842,0.659307,hero_walk2_se,-1
465,45,45,0.308737,0.659307,hero_walk2_se,-1
480,45,45,0.270144,0.659307,hero_walk2_se,7
495,45,45,0.236376,0.659307,hero_walk2_se,-1
510,50,50,0.331829,0.732563,hero_walk2_se,-1
525,50,50,0.290351,0.732563,hero_walk2_se,-1
540,50,50,0.254057,0.732563,hero_walk2_se,8
555,55,55,0.3473,0.80582,hero_walk3_se,-1
570,55,55,0.303887,0.80582,hero_walk3_se,-1
585,55,55,0.265901,0.80582,hero_walk3_se,-1
600,60,60,0.357664,0.879076,hero_walk3_se,9
615,60,60,0.312956,0.879076,hero_walk3_se,-1
630,60,60,0.273836,0.879076,hero_walk3_se,-1
645,60,60,0.239607,0.879076,hero_walk3_se,-1
660,65,65,0.334656,0.952332,hero_walk3_se,10
675,65,65,0.292824,0.952332,hero_walk3_se,-1
690,65,65,0.256221,0.952332,hero_walk3_se,-1
705,70,70,0.349193,0.0255887,hero_walk0_se,-1
720,70,70,0.305544,0.0255887,hero_walk0_se,11
735,70,70,0.267351,0.0255887,hero_walk0_se,-1
750,75,75,0.358932,0.098845,hero_walk0_se,-1
765,75,75,0.314066,0.098845,hero_walk0_se,-1
780,75,75,0.274807,0.098845,hero_walk0_se,12
795,75,75,0.240457,0.098845,hero_walk0_se,-1
810,80,80,0.335399,0.172101,hero_walk0_se,-1
825,80,80,0.293475,0.172101,hero_walk0_se,-1
840,80,80,0.25679,0.172101,hero_walk0_se,13
855,85,85,0.349691,0.245358,hero_walk0_se,-1
870,85,85,0.30598,0.245358,hero_walk0_se,-1
885,85,85,0.267733,0.245358,hero_walk0_se,-1
900,90,90,0.359266,0.318614,hero_walk1_se,14
915,90,90,0.314358,0.318614,hero_walk1_se,-1
930,90,90,0.275063,0.318614,hero_walk1_se,-1
945,90,90,0.24068,0.318614,hero_walk1_se,-1
960,95,95,0.335595,0.39187,hero_walk1_se,15
975,95,95,0.293646,0.39187,hero_walk1_se,-1
990,95,95,0.25694,0.39187,hero_walk1_se,-1
1005,100,100,0.349823,0.465127,hero_walk1_se,-1
1020,100,100,0.306095,0.465127,hero_walk1_se,16
1035,100,100,0.267833,0.465127,hero_walk1_se,-1
1050,105,105,0.359354,0.538383,hero_walk2_se,-1
1065,105,105,0.314435,0.538383,hero_walk2_se,-1
1080,105,105,0.27513,0.538383,hero_walk2_se,17
1095,105,105,0.240739,0.538383,hero_walk2_se,-1
1110,110,110,0.335647,0.611639,hero_walk2_se,-1
1125,110,110,0.293691,0.611639,hero_walk2_se,-1
1140,110,110,0.256979,0.611639,hero_walk2_se,18
1155,115,115,0.349857,0.684896,hero_walk2_se,-1
1170,115,115,0.306125,0.684896,hero_walk2_se,-1
1185,115,115,0.267859,0.684896,hero_walk2_se,-1
1200,120,120,0.359377,0.758152,hero_walk3_se,19
1215,120,120,0.314455,0.758152,hero_walk3_se,-1
1230,120,120,0.275148,0.758152,hero_walk3_se,-1
1245,120,120,0.240754,0.758152,hero_walk3_se,-1
1260,125,125,0.33566,0.831408,hero_walk3_se,20
1275,125,125,0.293703,0.831408,hero_walk3_se,-1
1290,125,125,0.25699,0.831408,hero_walk3_se,-1
1305,130,130,0.349866,0.904665,hero_walk3_se,-1
1320,130,130,0.306133,0.904665,hero_walk3_se,21
1335,130,130,0.267866,0.904665,hero_walk3_se,-1
1350,135,135,0.359383,0.977921,hero_walk3_se,-1
1365,135,135,0.31446,0.977921,hero_walk3_se,-1
1380,135,135,0.275153,0.977921,hero_walk3_se,22
1395,135,135,0.240758,0.977921,hero_walk3_se,-1
1410,140,140,0.335664,0.0511774,hero_walk0_se,-1
1425,140,140,0.293706,0.0511774,hero_walk0_se,-1
1440,140,140,0.256992,0.0511774,hero_walk0_se,23
1455,145,145,0.349868,0.124434,hero_walk0_se,-1
